Date,Average Temperature,Minimum Temperature,Maximum Temperature,Day,Month,Year
2014-12-02,27.7,25,32,02,12,2014
2014-12-03,28.1,26,33,03,12,2014
2014-12-04,28.6,25,32,04,12,2014
2014-12-05,28.2,25,33,05,12,2014
2014-12-06,27.9,25,32,06,12,2014
2014-12-07,27.4,25,32,07,12,2014
2014-12-08,26.9,23,32,08,12,2014
2014-12-09,27.4,23,32,09,12,2014
2014-12-10,28.1,22,33,10,12,2014
2014-12-11,27.8,23,32,11,12,2014
2014-12-12,27.8,24,31,12,12,2014
2014-12-13,27.4,25,32,13,12,2014
2014-12-14,28.1,24,33,14,12,2014
2014-12-15,28.2,23,32,15,12,2014
2014-12-16,27.9,25,34,16,12,2014
2014-12-17,26.2,24,31,17,12,2014
2014-12-18,25.8,22,29,18,12,2014
2014-12-19,26.6,23,33,19,12,2014
2014-12-20,27.4,23,33,20,12,2014
2014-12-21,27.2,23,33,21,12,2014
2014-12-22,26.7,22,32,22,12,2014
2014-12-23,26.2,23,29,23,12,2014
2014-12-24,27.8,23,32,24,12,2014
2014-12-25,28.8,24,33,25,12,2014
2014-12-26,28.9,25,34,26,12,2014
2014-12-27,28.6,23,32,27,12,2014
2014-12-28,28,24,33,28,12,2014
2014-12-29,26.5,25,34,29,12,2014
2014-12-30,25.1,20,29,30,12,2014
2014-12-31,25.9,22,30,31,12,2014
2015-01-01,25.9,23,31,01,01,2015
2015-01-02,25.6,20,30,02,01,2015
2015-01-03,27.1,23,32,03,01,2015
2015-01-04,27.3,24,32,04,01,2015
2015-01-05,26.5,25,31,05,01,2015
2015-01-06,27,23,32,06,01,2015
2015-01-07,27.4,24,32,07,01,2015
2015-01-08,27.7,24,33,08,01,2015
2015-01-09,27.2,25,31,09,01,2015
2015-01-10,27.6,20,31,10,01,2015
2015-01-11,26.6,24,30,11,01,2015
2015-01-12,26.5,23,31,12,01,2015
2015-01-13,26.6,23,32,13,01,2015
2015-01-14,25.4,21,31,14,01,2015
2015-01-15,24.9,20,31,15,01,2015
2015-01-16,25.3,20,31,16,01,2015
2015-01-17,26.2,21,32,17,01,2015
2015-01-18,25.3,21,30,18,01,2015
2015-01-19,25.2,20,29,19,01,2015
2015-01-20,25.2,21,30,20,01,2015
2015-01-21,25.7,20,32,21,01,2015
2015-01-22,25.6,22,31,22,01,2015
2015-01-23,25.2,20,31,23,01,2015
2015-01-24,25.1,21,31,24,01,2015
2015-01-25,25.1,20,31,25,01,2015
2015-01-26,26.1,20,32,26,01,2015
2015-01-27,26.3,22,32,27,01,2015
2015-01-28,25.9,21,32,28,01,2015
2015-01-29,26,21,33,29,01,2015
2015-01-30,25.7,22,33,30,01,2015
2015-01-31,25.7,21,32,31,01,2015
2015-02-01,26.3,21,33,01,02,2015
2015-02-02,27.2,22,33,02,02,2015
2015-02-03,26.8,23,33,03,02,2015
2015-02-04,26.4,22,33,04,02,2015
2015-02-05,26.2,23,33,05,02,2015
2015-02-06,25.5,20,32,06,02,2015
2015-02-07,25.3,21,31,07,02,2015
2015-02-08,25.7,20,32,08,02,2015
2015-02-09,25.4,19,32,09,02,2015
2015-02-10,24.9,20,31,10,02,2015
2015-02-11,25.5,20,32,11,02,2015
2015-02-12,25.6,21,32,12,02,2015
2015-02-13,25.8,20,32,13,02,2015
2015-02-14,25.8,22,31,14,02,2015
2015-02-15,25.8,22,32,15,02,2015
2015-02-16,26.5,23,33,16,02,2015
2015-02-17,27.1,20,31,17,02,2015
2015-02-18,27.9,22,35,18,02,2015
2015-02-19,27.8,25,32,19,02,2015
2015-02-20,28.1,24,34,20,02,2015
2015-02-21,27.4,25,33,21,02,2015
2015-02-22,27.8,24,33,22,02,2015
2015-02-23,27.8,25,32,23,02,2015
2015-02-24,27.7,25,32,24,02,2015
2015-02-25,26.6,25,30,25,02,2015
2015-02-26,27.7,24,34,26,02,2015
2015-02-27,29.3,25,35,27,02,2015
2015-02-28,29,26,34,28,02,2015
2015-03-01,29.2,26,36,01,03,2015
2015-03-02,28.1,24,34,02,03,2015
2015-03-03,28.2,25,30,03,03,2015
2015-03-04,28.4,26,33,04,03,2015
2015-03-05,28.4,26,33,05,03,2015
2015-03-06,28.9,25,34,06,03,2015
2015-03-07,28.6,25,35,07,03,2015
2015-03-08,29.1,26,34,08,03,2015
2015-03-09,28.9,25,35,09,03,2015
2015-03-10,28.9,25,35,10,03,2015
2015-03-11,28.8,24,36,11,03,2015
2015-03-12,28.8,24,34,12,03,2015
2015-03-13,29.4,26,35,13,03,2015
2015-03-14,29,26,34,14,03,2015
2015-03-15,28.5,26,33,15,03,2015
2015-03-16,28.1,25,33,16,03,2015
2015-03-17,27.8,25,33,17,03,2015
2015-03-18,27.8,25,32,18,03,2015
2015-03-19,28.7,25,35,19,03,2015
2015-03-20,28.2,26,32,20,03,2015
2015-03-21,28.7,25,34,21,03,2015
2015-03-22,28.9,25,34,22,03,2015
2015-03-23,29.2,26,34,23,03,2015
2015-03-24,29.7,26,35,24,03,2015
2015-03-25,30.4,25,37,25,03,2015
2015-03-26,30.5,25,36,26,03,2015
2015-03-27,30.6,26,37,27,03,2015
2015-03-28,30.6,25,37,28,03,2015
2015-03-29,30.1,26,36,29,03,2015
2015-03-30,29.3,26,36,30,03,2015
2015-03-31,29.4,26,34,31,03,2015
2015-04-01,29.4,26,34,01,04,2015
2015-04-02,29.7,25,36,02,04,2015
2015-04-03,30,27,35,03,04,2015
2015-04-04,29.7,27,35,04,04,2015
2015-04-05,29.3,27,32,05,04,2015
2015-04-06,29.6,27,34,06,04,2015
2015-04-07,30.2,27,36,07,04,2015
2015-04-08,30.6,27,32,08,04,2015
2015-04-09,30.6,27,36,09,04,2015
2015-04-10,30.4,27,36,10,04,2015
2015-04-11,30.4,28,35,11,04,2015
2015-04-12,28.4,25,34,12,04,2015
2015-04-13,27.5,24,33,13,04,2015
2015-04-14,29.3,25,35,14,04,2015
2015-04-15,29.7,27,36,15,04,2015
2015-04-16,29.4,26,34,16,04,2015
2015-04-17,29.6,26,34,17,04,2015
2015-04-18,29.9,26,35,18,04,2015
2015-04-19,30.4,27,36,19,04,2015
2015-04-20,30.6,27,36,20,04,2015
2015-04-21,31.1,28,37,21,04,2015
2015-04-22,30.4,28,35,22,04,2015
2015-04-23,28.6,26,36,23,04,2015
2015-04-24,30.2,28,35,24,04,2015
2015-04-25,30.3,26,36,25,04,2015
2015-04-26,30.7,26,38,26,04,2015
2015-04-27,30.4,27,36,27,04,2015
2015-04-28,29.2,25,35,28,04,2015
2015-04-29,29.9,27,34,29,04,2015
2015-04-30,30.4,27,35,30,04,2015
2015-05-01,30.8,28,35,01,05,2015
2015-05-02,30.8,28,35,02,05,2015
2015-05-03,30.4,25,35,03,05,2015
2015-05-04,31.1,27,34,04,05,2015
2015-05-05,30.9,28,35,05,05,2015
2015-05-06,30.8,28,36,06,05,2015
2015-05-07,30.7,28,34,07,05,2015
2015-05-08,30.4,28,34,08,05,2015
2015-05-09,29.6,24,35,09,05,2015
2015-05-10,31.5,27,36,10,05,2015
2015-05-11,31.3,28,35,11,05,2015
2015-05-12,28.6,26,33,12,05,2015
2015-05-13,30.3,26,35,13,05,2015
2015-05-14,30.9,26,35,14,05,2015
2015-05-15,30.4,27,36,15,05,2015
2015-05-16,30.8,27,36,16,05,2015
2015-05-17,29.8,26,36,17,05,2015
2015-05-18,31.3,27,36,18,05,2015
2015-05-19,31.8,28,37,19,05,2015
2015-05-20,29.8,28,34,20,05,2015
2015-05-21,31.3,27,37,21,05,2015
2015-05-22,29.3,27,35,22,05,2015
2015-05-23,30.4,26,35,23,05,2015
