Date,Average Temperature,Minimum Temperature,Maximum Temperature,Day,Month,Year
8/28/2014,27.7,25,32,28,8,2014
8/29/2014,25.9,25,30,29,8,2014
8/30/2014,27.1,24,31,30,8,2014
8/31/2014,26.7,24,32,31,8,2014
9/1/2014,25.9,26,33,1,9,2014
9/2/2014,28.2,26,33,2,9,2014
9/3/2014,28.8,25,33,3,9,2014
9/4/2014,27.9,25,34,4,9,2014
9/5/2014,27.1,24,31,5,9,2014
9/6/2014,27.3,24,33,6,9,2014
9/7/2014,26.6,24,31,7,9,2014
9/8/2014,27.4,25,33,8,9,2014
9/9/2014,28.3,25,32,9,9,2014
9/10/2014,27.2,25,32,10,9,2014
9/11/2014,28.4,24,32,11,9,2014
9/12/2014,27.8,26,33,12,9,2014
9/13/2014,28.4,26,33,13,9,2014
9/14/2014,28.1,26,33,14,9,2014
9/15/2014,26.7,26,31,15,9,2014
9/16/2014,26.3,24,30,16,9,2014
9/17/2014,26.8,25,33,17,9,2014
9/18/2014,29.6,24,30,18,9,2014
9/19/2014,29.5,26,33,19,9,2014
9/20/2014,27.9,24,33,20,9,2014
9/21/2014,28.3,26,32,21,9,2014
9/22/2014,28.3,26,33,22,9,2014
9/23/2014,29.3,25,33,23,9,2014
9/24/2014,28.9,25,34,24,9,2014
9/25/2014,27.5,25,32,25,9,2014
9/26/2014,28.9,25,34,26,9,2014
9/27/2014,28.3,26,32,27,9,2014
9/28/2014,27.8,25,34,28,9,2014
9/29/2014,27.9,25,34,29,9,2014
9/30/2014,28,26,32,30,9,2014
10/1/2014,27.1,24,34,1,10,2014
10/2/2014,26.9,25,34,2,10,2014
10/3/2014,28.2,24,33,3,10,2014
10/4/2014,27.7,25,34,4,10,2014
10/5/2014,28.1,25,31,5,10,2014
10/6/2014,26.1,24,31,6,10,2014
10/7/2014,27.9,24,33,7,10,2014
10/8/2014,26.8,25,30,8,10,2014
10/9/2014,26.1,25,33,9,10,2014
10/10/2014,28.6,24,33,10,10,2014
10/11/2014,27.4,26,32,11,10,2014
10/12/2014,27.8,25,33,12,10,2014
10/13/2014,28,25,33,13,10,2014
10/14/2014,29.1,24,34,14,10,2014
10/15/2014,28.1,25,33,15,10,2014
10/16/2014,27.2,25,32,16,10,2014
10/17/2014,28,25,32,17,10,2014
10/18/2014,28.8,25,33,18,10,2014
10/19/2014,26.9,25,33,19,10,2014
10/20/2014,27.7,24,33,20,10,2014
